wordpiece,tokenized by BERT
¯,[UNK]
¸,[UNK]
ŧ,[UNK]
ƛ,[UNK]
ɵ,[UNK]
ǝ,[UNK]
ɢ,[UNK]
ɥ,[UNK]
ʇ,[UNK]
ʜ,[UNK]
ʟ,[UNK]
ʺ,[UNK]
ˆ,[UNK]
ˇ,[UNK]
ˋ,[UNK]
˘,[UNK]
˙,[UNK]
˚,[UNK]
˛,[UNK]
˜,[UNK]
˝,[UNK]
ϕ,[UNK]
ϵ,[UNK]
ѕ,[UNK]
҉,[UNK]
ґ,[UNK]
ә,[UNK]
ө,[UNK]
׳,[UNK]
؟,[UNK]
٠,[UNK]
١,[UNK]
٢,[UNK]
٣,[UNK]
٤,[UNK]
٥,[UNK]
٦,[UNK]
٨,[UNK]
٩,[UNK]
ە,[UNK]
۰,[UNK]
۱,[UNK]
۲,[UNK]
۳,[UNK]
۴,[UNK]
۵,[UNK]
१,[UNK]
਍,[UNK]
ર,[UNK]
ા,[UNK]
அ,[UNK]
ெ,[UNK]
ం,[UNK]
త,[UNK]
న,[UNK]
ర,[UNK]
ల,[UNK]
ు,[UNK]
ಠ,[UNK]
ം,[UNK]
അ,[UNK]
ക,[UNK]
ങ,[UNK]
ച,[UNK]
ട,[UNK]
ണ,[UNK]
ത,[UNK]
ദ,[UNK]
ന,[UNK]
പ,[UNK]
ബ,[UNK]
മ,[UNK]
യ,[UNK]
ര,[UNK]
റ,[UNK]
ല,[UNK]
ള,[UNK]
വ,[UNK]
ഷ,[UNK]
സ,[UNK]
ാ,[UNK]
ി,[UNK]
ീ,[UNK]
െ,[UNK]
േ,[UNK]
ค,[UNK]
ณ,[UNK]
ด,[UNK]
ถ,[UNK]
บ,[UNK]
ป,[UNK]
ะ,[UNK]
ไ,[UNK]
ᄈ,[UNK]
ᄍ,[UNK]
ᅨ,[UNK]
ᅬ,[UNK]
ᅰ,[UNK]
ᅱ,[UNK]
ᆮ,[UNK]
ᆺ,[UNK]
ᆻ,[UNK]
ᆿ,[UNK]
ᇂ,[UNK]
ន,[UNK]
